:nemesis	:info	:start-partition	:minority-third
1	:invoke	:generate	nil
2	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{}, "n1" #{}, "n0" #{}}]
0	:invoke	:generate	nil
1	:ok	:generate	100352
1	:invoke	:generate	nil
2	:ok	:generate	103424
0	:ok	:generate	110592
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	116736
1	:invoke	:generate	nil
2	:ok	:generate	123904
2	:invoke	:generate	nil
0	:ok	:generate	131072
0	:invoke	:generate	nil
1	:ok	:generate	137216
1	:invoke	:generate	nil
2	:ok	:generate	144384
2	:invoke	:generate	nil
0	:ok	:generate	155648
0	:invoke	:generate	nil
1	:ok	:generate	161792
1	:invoke	:generate	nil
2	:ok	:generate	164864
2	:invoke	:generate	nil
0	:ok	:generate	172032
0	:invoke	:generate	nil
1	:ok	:generate	178176
2	:ok	:generate	181248
1	:invoke	:generate	nil
0	:ok	:generate	188416
2	:invoke	:generate	nil
1	:ok	:generate	198656
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	209920
2	:invoke	:generate	nil
0	:ok	:generate	221184
0	:invoke	:generate	nil
1	:ok	:generate	223232
1	:invoke	:generate	nil
2	:ok	:generate	230400
2	:invoke	:generate	nil
1	:ok	:generate	235520
1	:invoke	:generate	nil
0	:ok	:generate	241664
0	:invoke	:generate	nil
2	:ok	:generate	242688
2	:invoke	:generate	nil
0	:ok	:generate	253952
1	:ok	:generate	251904
0	:invoke	:generate	nil
2	:ok	:generate	254976
1	:invoke	:generate	nil
0	:ok	:generate	274432
2	:invoke	:generate	nil
1	:ok	:generate	280576
2	:ok	:generate	283648
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	295936
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	303104
0	:invoke	:generate	nil
2	:ok	:generate	308224
1	:ok	:generate	309248
1	:invoke	:generate	nil
0	:ok	:generate	315392
0	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	329728
1	:invoke	:generate	nil
0	:ok	:generate	339968
0	:invoke	:generate	nil
2	:ok	:generate	345088
2	:invoke	:generate	nil
1	:ok	:generate	354304
1	:invoke	:generate	nil
0	:ok	:generate	364544
2	:ok	:generate	365568
2	:invoke	:generate	nil
1	:ok	:generate	370688
0	:invoke	:generate	nil
2	:ok	:generate	377856
0	:ok	:generate	389120
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	399360
0	:ok	:generate	397312
2	:ok	:generate	398336
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	421888
0	:invoke	:generate	nil
1	:ok	:generate	423936
2	:ok	:generate	427008
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	442368
0	:invoke	:generate	nil
2	:ok	:generate	439296
1	:ok	:generate	440320
2	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	446464
0	:invoke	:generate	nil
2	:ok	:generate	451584
2	:invoke	:generate	nil
1	:ok	:generate	452608
0	:ok	:generate	458752
0	:invoke	:generate	nil
2	:ok	:generate	459776
1	:invoke	:generate	nil
0	:ok	:generate	466944
0	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	477184
1	:invoke	:generate	nil
2	:ok	:generate	480256
2	:invoke	:generate	nil
0	:ok	:generate	487424
0	:invoke	:generate	nil
1	:ok	:generate	497664
2	:ok	:generate	500736
0	:ok	:generate	503808
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	509952
2	:ok	:generate	513024
1	:invoke	:generate	nil
0	:ok	:generate	520192
2	:invoke	:generate	nil
1	:ok	:generate	522240
0	:invoke	:generate	nil
2	:ok	:generate	529408
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	540672
0	:invoke	:generate	nil
1	:ok	:generate	546816
1	:invoke	:generate	nil
2	:ok	:generate	553984
2	:invoke	:generate	nil
0	:ok	:generate	561152
1	:ok	:generate	563200
0	:invoke	:generate	nil
2	:ok	:generate	570368
1	:invoke	:generate	nil
0	:ok	:generate	577536
2	:invoke	:generate	nil
1	:ok	:generate	583680
2	:ok	:generate	586752
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	598016
2	:invoke	:generate	nil
1	:ok	:generate	600064
0	:invoke	:generate	nil
2	:ok	:generate	599040
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	618496
0	:invoke	:generate	nil
1	:ok	:generate	620544
2	:ok	:generate	623616
0	:ok	:generate	626688
2	:invoke	:generate	nil
2	:ok	:generate	631808
0	:invoke	:generate	nil
0	:ok	:generate	638976
0	:invoke	:generate	nil
0	:ok	:generate	647168
1	:invoke	:generate	nil
1	:ok	:generate	653312
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	660480
0	:ok	:generate	667648
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	688128
1	:ok	:generate	690176
0	:invoke	:generate	nil
2	:ok	:generate	697344
1	:invoke	:generate	nil
0	:ok	:generate	704512
1	:ok	:generate	706560
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	714752
2	:ok	:generate	717824
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	722944
0	:ok	:generate	724992
0	:invoke	:generate	nil
2	:ok	:generate	726016
0	:ok	:generate	733184
0	:invoke	:generate	nil
0	:ok	:generate	737280
0	:invoke	:generate	nil
0	:ok	:generate	745472
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	751616
0	:invoke	:generate	nil
2	:ok	:generate	754688
1	:invoke	:generate	nil
